,Position,Company,State
188,Operational Manager / Head of Operations (Based in Indonesia),Chang Hua Construction Pte Ltd,Klang/Port Klang
189,Electrical Engineer,Inter Great (M) Sdn Bhd,Klang/Port Klang
190,Digital Marketing Executive,UG PRESS SDN. BHD.,Selayang
191,COMPANY SECRETARY ASSISTANT,Bold Vision Sdn Bhd,Kajang/Bangi/Serdang
192,System Administrator (Middleware),Xin Hwa Holdings Berhad,Kuantan
193,Event Administrator,Sendi Mahir Sdn Bhd,Alor Gajah
194,Sales Manager Sarawak,THAT HIN LOONG MARKETING SDN BHD,Selayang
195,technician - fire extinguisher,Shell Business Operations Kuala Lumpur,Johor Bahru
196,"Educators - Add Maths, Maths",Leo Ceramiko Sdn Bhd,Shah Alam/Subang
197,Hotel Chief Engineer,Corporate Builders Sdn Bhd,"Jakarta Utara, Jakarta Raya"
198,Administrative Executive (CONTRACT),Zelcos Laboratory Sdn. Bhd.,Selangor
199,Admin Executive,JESS Technology Sdn Bhd,Petaling Jaya
200,Quality Control / R&D Executive,JESS Technology Sdn Bhd,Bayan Lepas
201,CUSTOMER SERVICE,Infineon Technologies (Malaysia) Sdn Bhd,Selangor
202,Logistic Assistant - Dispatch (Base in Melaka),Octafa Consulting Sdn Bhd,Kuala Lumpur
203,Storekeeper,Jora Jobs,Kuala Lumpur
204,Customer Ops Specialist,ACA Pacific Technology (M) Sdn Bhd,Selangor
205,Sales Executive,Caspian Digital Solutions,"Klang/Port Klang, Puchong"
206,Administrative Assistant,Integrated Health Plans (Malaysia) Sdn Bhd,Maldives
207,Business Development Consultant,MicroLambda Sdn Bhd,Bayan Lepas
208,Marketing Executive,Coway (Malaysia) Sdn Bhd,Selangor
209,Technician Electronic (Puchong),Adena Beach Resort Kuantan,Selangor
210,Technician Electronic (Puchong),SYARIKAT PERUSAHAAN JOOI BERSAUDARA SDN. BHD.,"Johor Bahru, Kuantan"
211,Staff Analyst Financial Controlling,INTCO MALAYSIA SDN. BHD.,Melaka
212,Business Analyst,JD SPORTS FASHION SDN. BHD.,Rawang
213,Admin Clerk,Top Glove Corporation Berhad,Selangor
214,Marketing Executive,Flex,Selangor
215,Digital Performance Marketing Manager,AVEX GROUP,Kuala Lumpur
216,Claims Officer / Executive,Top Glove Corporation Berhad,Company Confidential
217,Asst.Manager Service cum Applications,Smart Decor Pte Ltd,"Johor Bahru, Melaka"
218,Purchasing Administrator,Jungheinrich Lift Truck Malaysia Sdn Bhd,Penang
219,Sales & Marketing Executive,Huama International Sdn Bhd,"Kuala Lumpur, Selangor"
220,Admin Executive,Jora Jobs,"Kuala Lumpur, Selangor"
221,SALES & MARKETING EXECUTIVE,Intecorr Consultancy,Melaka
222,Electrical Engineer,Ormond Group,Kuala Lumpur
223,Senior E-commerce Assistant Merchandiser,CALIAN TECH MARKETING PLT,Selangor
224,"Executive, Finance (Accounting)",Dunham Bush Industries Sdn Bhd,Petaling Jaya
225,"Production Supervisor - Flex Skudai, Johor",Lactalis Trading Malaysia Sdn. Bhd.,Kuala Lumpur
226,Digital Marketer,INNOV8TIF SOLUTIONS SDN. BHD.,"Bayan Lepas, Petaling Jaya"
227,"Executive, Marketing",Kejuruteraan P & L Sdn Bhd,Selangor
228,Marketing Executive,Sunway Berhad,Kuala Lumpur
229,Sales Manager – Client Service,Esco Micro (M) Sdn Bhd,Kuantan
230,WareHouse Associate,AM LIFE INTERNATIONAL SDN BHD,Company Confidential
231,Admin Clerk,Marcus Evans (M) Sdn Bhd,Petaling Jaya
232,Materials Corrosion Engineer,Webnatics Sdn. Bhd.,Bukit Mertajam
233,F&B Operations Manager,Repro Solution Sdn Bhd,Klang/Port Klang
234,Game App Security Officer,TDCX,Kuala Lumpur
235,Application Engineer,RCE Capital Berhad,Selangor
236,Application Group Manager,Math Monkey MathBrain Centre,Johor
237,Software System Support,Armstrong Auto Parts Sdn Bhd,Kuala Lumpur
238,PROJECT ENGINEER / SITE ENGINEER / SITE COORDINATOR,Corporate Builders Sdn Bhd,Selangor
239,Mechanical and Electrical Coordinator,RB (Health) Malaysia Sdn Bhd,Kuala Lumpur
240,Service Coordinator,Sunway Property,Selangor
241,Sales Processing Executive,Mi Equipment (M) Sdn. Bhd.,Kuala Lumpur
242,Corporate Sales Executive – High-End Business Summits,Daniel Wellington,Selangor
243,Digital Marketing Executive,Monster Services Group Sdn Bhd,Shah Alam/Subang
244,Software Developer (.NET),Alpha Home Appliances Sdn Bhd,Kuala Lumpur
245,Assistant Finance Expert,ECO MEDI GLOVE SDN. BHD.,George Town
246,ASSISTANT MANAGER / SENIOR EXECUTIVE  (APPLICATION) - INFORMATION TECHNOLOGY,Syarikat Sin Kwang Plastic Industries Sdn Bhd,Selangor
247,Site Supervisor,SEP Engineering Sdn Bhd,Petaling Jaya
248,Early Childhood Teacher (Melaka),Cambert (M) Sdn Bhd,Subang Jaya
249,Internship for Business Studies/Administration Students,Oglaend Industries Sdn Bhd,"Puchong, Kajang/Bangi/Serdang"
250,IBS PRODUCTION SUPERVISOR,Capita Global Sdn Bhd,Selangor
251,Assistant Sales Manager (East Coast) - General Trade,MCIS LIFE,Shah Alam/Subang
252,Finance Executive,Perbadanan Bekalan Air Pulau Pinang Sdn Bhd,Penang
253,Admin Executive,Appvalley Technology Sdn Bhd,Kuala Lumpur
254,Sales Associate - Kuala Lumpur,Nestlé Malaysia,Shah Alam/Subang
255,Accounts Executive (PENANG),CSM Consultant,Selangor
256,Storekeeper,Western Digital,Kuala Lumpur
257,Human Resources Executive,Ori Bionature (M) Sdn Bhd,Kuala Lumpur
258,Quality Manager,Celestica,Company Confidential
259,Accounts Clerk cum General Admin,Rovski Sdn Bhd,Singapore
260,Sales Representative / Executive (Ipoh),DPO International Sdn Bhd,Melaka
261,INSIDE SALES DATA ENTRY,Kotak Malaysia (KOM) Sdn. Bhd.,Penang
262,Sales Admin cum Finance Assistant / Executive | Setia Alam,AUTOFIN ASSOCIATES (JOHORE) SDN. BHD.,Penang
263,Technical Manager,Yeh Brothers Malaysia Sdn Bhd,Kuantan
264,EXECUTIVE (INFORMATION TECHNOLOGY DEPARTMENT),UNISEM GROUP,Selangor
